checkpoint_label,noise_group,sample_label,case_id,noise_pct,overlap_bucket,low_threshold,der,miss,fa,conf,ov_precision,ov_recall,ov_f1,pred_segments,ref_segments
baseline,0% noise,data11 | ov10 | 0% noise,data11,0.0,ov10,0.05,26.148137635927547,14.6841727101088,8.451260635115155,3.0127042907035926,0.6608362369337979,0.5177723177723177,0.5806214602785856,533,285
ep007_phase2_top6_overlap,with noise,data62 | ov5 | 23% noise,data62,23.0,ov5,0.25,15.00475312453011,0.4995552487057116,12.111519344029741,2.3936785317946545,0.5203479799469183,0.9806409781400518,0.6799177959026395,415,294
ep014_phase3_top6_consolidate,0% noise,data11 | ov10 | 0% noise,data11,0.0,ov10,0.05,18.840415866452208,0.30483177551526935,18.00504403917736,0.5305400517595823,0.47236768654137534,0.9702429702429703,0.6353917116601708,387,285
ep014_phase3_top6_consolidate,0% noise,data11 | ov10 | 0% noise,data11,0.0,ov10,0.25,8.481608383787464,0.13235272968837075,8.295045146074436,0.05421050802465691,0.664918987802658,0.9971061971061971,0.7978156400174748,365,285
ep014_phase3_top6_consolidate,0% noise,data2 | ov0 | 0% noise,data2,0.0,ov0,0.05,23.86706646420145,0.00974943012307876,21.73781789421607,2.119499139862301,0.004072297221912306,0.9358974358974358,0.008109309042435014,348,257
ep014_phase3_top6_consolidate,0% noise,data2 | ov0 | 0% noise,data2,0.0,ov0,0.25,7.39057965179519,0.2479540779615101,6.652836985537158,0.4897885882965229,0.009158307893589184,0.5384615384615384,0.018010291595197254,326,257
ep014_phase3_top6_consolidate,0% noise,data56 | ov5 | 0% noise,data56,0.0,ov5,0.05,27.721168643262033,0.18844730068718624,25.938667849592928,1.5940534929819177,0.22223737318642955,0.9671255637313079,0.36142280569477087,440,257
ep014_phase3_top6_consolidate,0% noise,data56 | ov5 | 0% noise,data56,0.0,ov5,0.25,12.377722695836171,0.43133961856251296,9.47113663031765,2.4752464469560085,0.4610407565116408,0.9894374554948967,0.628993926590969,388,257
ep014_phase3_top6_consolidate,with noise,data14 | ov10 | 17% noise,data14,17.0,ov10,0.05,35.98774428786257,0.4285739909575737,29.19745525837544,6.361715038529558,0.38179444193693984,0.9722906403940886,0.5482892726515116,624,324
ep014_phase3_top6_consolidate,with noise,data14 | ov10 | 17% noise,data14,17.0,ov10,0.25,23.001420854114023,2.214659107580252,13.800852223157017,6.985909523376755,0.6019700551615444,0.9407635467980295,0.7341662662181643,518,324
ep014_phase3_top6_consolidate,with noise,data5 | ov0 | 23% noise,data5,23.0,ov0,0.05,26.4825408242936,0.14498690645717482,24.463401870523597,1.874152047312829,0.0030508474576271187,0.870967741935484,0.006080396351762189,406,237
ep014_phase3_top6_consolidate,with noise,data5 | ov0 | 23% noise,data5,23.0,ov0,0.25,15.368263382694838,1.7756648785696927,11.661187242408065,1.9314112617170813,0.005626406601650412,0.48387096774193544,0.011123470522803115,328,237
ep014_phase3_top6_consolidate,with noise,data62 | ov5 | 23% noise,data62,23.0,ov5,0.05,29.111969444583302,0.4195688420889073,25.84451688506844,2.847883717425955,0.2868392393398676,0.9514635050018526,0.4407921556847683,512,294
ep014_phase3_top6_consolidate,with noise,data62 | ov5 | 23% noise,data62,23.0,ov5,0.25,14.895862176489077,1.3597912706525672,11.463397150452924,2.072673755383585,0.5279560985711327,0.9446091144868469,0.6773379383634431,405,294
