sample_label,split,case_id,group_name,low_threshold,der,miss,fa,conf,ov_precision,ov_recall,ov_f1,pred_segments,ref_segments
dustin,test_labeled,data52,dustin_1,0.35,22.68586611562144,6.144348774882742,13.505012109420884,3.036505231317815,0.06765734265734266,0.20476190476190476,0.10170827858081473,870,785
dustin,test_labeled,data52,dustin_1,0.45,22.725224282853283,9.345198852668574,10.776046117930818,2.603979312253893,0.12560975609756098,0.1634920634920635,0.1420689655172414,845,785
vif,test_labeled,data56,vif_1,0.05,8.477528935110389,0.05210301717561025,7.967547625472456,0.45787829246232253,0.0,0.0,0.0,422,625
vif,test_labeled,data56,vif_1,0.15,6.985766817366926,0.2243556346786934,6.401502262308051,0.35990892038018263,0.0,0.0,0.0,410,625
vif,test_labeled,data56,vif_1,0.25,6.617288465809567,0.4676596900804689,5.795095165084396,0.3545336106447037,0.0,0.0,0.0,423,625
vif,test_labeled,data56,vif_1,0.35,6.287148064402523,0.7427686404291015,5.308497258335037,0.23588216563838427,0.0,0.0,0.0,444,625
vif,test_labeled,data56,vif_1,0.45,6.3407656013387586,1.1362881988388456,4.954407751360648,0.25006965113926616,0.0,0.0,0.0,473,625
vivo_ov0,test_data,data2,vivo,0.05,23.902042565449577,0.011220126500514635,22.220206306015356,1.670616132933708,0.004022176323513425,0.9487179487179487,0.008010391859709894,350,257
vivo_ov0,test_data,data2,vivo,0.15,11.817754176442534,0.057244558528644275,10.708027907765194,1.0524817101486938,0.007551669316375201,0.7307692307692308,0.014948859166011018,321,257
vivo_ov0,test_data,data2,vivo,0.25,7.562637340176854,0.24767786279815862,6.827573639288804,0.4873858380898921,0.009359710699851096,0.5641025641025641,0.018413894120108812,321,257
vivo_ov0,test_data,data2,vivo,0.35,5.350919470826845,0.689075300921217,4.259926289175624,0.4019178807300041,0.012369540007730962,0.41025641025641024,0.02401500938086304,332,257
vivo_ov0,test_data,data2,vivo,0.45,3.979605860687501,1.363741270247324,2.1696830689198654,0.446181521520312,0.016229712858926344,0.16666666666666666,0.02957906712172924,323,257
vivo_ov10,test_data,data11,vivo,0.05,18.943366029557687,0.30483177551526935,18.096073657081156,0.542460596961264,0.47162800573278835,0.9702429702429703,0.6347221974175343,385,285
vivo_ov10,test_data,data11,vivo,0.15,11.57327628525215,0.2758556393447837,11.166185535062008,0.13123511084535913,0.5977307718053418,0.9751023751023751,0.7411449795613472,368,285
vivo_ov10,test_data,data11,vivo,0.25,8.536801456296422,0.12798053108378518,8.354610417187981,0.05421050802465691,0.6659130688448075,0.9971061971061971,0.7985307942893374,365,285
vivo_ov10,test_data,data11,vivo,0.35,6.553770470241971,0.26590462558585387,6.221128807805239,0.06673703685087834,0.7292166266986411,0.9961779961779963,0.8420445367485865,366,285
vivo_ov10,test_data,data11,vivo,0.45,5.470683482482109,0.5613926578437834,4.765380381342868,0.1439104432954573,0.7780485719172225,0.9935571935571935,0.8726950099513224,368,285
vivo_ov5,test_data,data56,vivo,0.05,28.02604820417803,0.18844730068718624,26.3443340422167,1.4932668612741404,0.21951942244491135,0.9671255637313079,0.3578203214191622,448,257
vivo_ov5,test_data,data56,vivo,0.15,15.591986568612759,0.12327992445787894,13.610287060318987,1.8584195838358928,0.3783453887884268,0.9932352243057204,0.5479604530871472,370,257
vivo_ov5,test_data,data56,vivo,0.25,11.77910191411979,0.4071749212567869,8.979573928467058,2.3923530643959445,0.48420257869671274,0.9894374554948967,0.6502105755732335,380,257
vivo_ov5,test_data,data56,vivo,0.35,9.349889052540346,1.2820320181160654,6.203435291711957,1.8644217427123255,0.583940057962819,0.9804177545691906,0.7319363841757853,375,257
vivo_ov5,test_data,data56,vivo,0.45,8.712848328077376,2.475520145652873,4.057106411031949,2.1802217713925534,0.6935264054514481,0.9662948018039401,0.8074977685212734,372,257
